id_tipo_bebida;Categoría;Bebida;Tamaño;Leche;Calorías;GrasaTotal;GrasaTrans;GrasaSaturada;Sodio;CarbohidratosTotales;Colesterol;FibraDietética;Azúcares;Proteína
224;Frappuccino Café Ligero Mezclado;Caramel;Alto;Leche Descremada;100;1;0;0;0;140;23;0;23;30
225;Frappuccino Café Ligero Mezclado;Caramel;Grande;Leche Descremada;150;1;1;0;0;200;33;0;32;30
226;Frappuccino Café Ligero Mezclado;Caramel;Venti;Leche Descremada;200;1;1;0;5;270;44;0;43;50
227;Frappuccino Café Ligero Mezclado;Java Chip;Alto;Leche Descremada;150;30;20;0;0;170;30;1;27;40
228;Frappuccino Café Ligero Mezclado;Java Chip;Grande;Leche Descremada;220;40;30;0;0;240;43;2;39;50
229;Frappuccino Café Ligero Mezclado;Java Chip;Venti;Leche Descremada;290;50;40;0;5;320;58;2;52;70
230;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Alto;Leche Descremada;170;1;1;0;0;140;39;0;38;30
231;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Alto;Leche Entera;190;30;15;1;10;140;38;0;37;30
232;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Alto;Leche de Soya;170;15;2;0;0;135;37;1;35;30
233;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Grande;Leche Descremada;230;2;1;0;0;190;53;0;52;40
234;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Grande;Leche Entera;260;40;20;1;10;190;53;0;52;40
235;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Grande;Leche de Soya;240;20;2;0;0;180;51;1;49;30
236;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Venti;Leche Descremada;310;2;1;0;5;260;70;0;69;60
237;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Venti;Leche Entera;350;60;30;2;15;260;70;0;68;60
238;Frappuccino Blended Creme;Strawberries & Creme (Without Whipped Cream);Venti;Leche de Soya;320;32;4;0;0;250;67;1;64;50
